+-------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+-----------+-------------+-----------------+--------------------------+
| id_category | name                                                                                | category_url                                                                                                      | id_parent | level_depth | direct_products | recursive_products_total |
|       22911 | VTR                                                                                 | https://www.driveonly.fr/fr/22911-vtr                                                                             |       107 |           5 |               0 |                        0 |
|       22915 | XR 125                                                                              | https://www.driveonly.fr/fr/22915-xr-125                                                                          |       107 |           5 |               0 |                        0 |
|       22916 | XRV 750 Africa Twin                                                                 | https://www.driveonly.fr/fr/22916-xrv-750-africa-twin                                                             |       107 |           5 |               0 |                        0 |
|       22951 | BT 1100 Bulldog                                                                     | https://www.driveonly.fr/fr/22951-bt-1100-bulldog                                                                 |       108 |           5 |               0 |                        0 |
|       22950 | FJ / FJR                                                                            | https://www.driveonly.fr/fr/22950-fj-fjr                                                                          |       108 |           5 |               0 |                        0 |
|       22954 | FZ6  / FZ8 / FZ1                                                                    | https://www.driveonly.fr/fr/22954-fz6-fz8-fz1                                                                     |       108 |           5 |               0 |                        0 |
|       22953 | FZS 600 / 1000 Fazer                                                                | https://www.driveonly.fr/fr/22953-fzs-600-1000-fazer                                                              |       108 |           5 |               0 |                        0 |
|       22960 | TZR 50 / 125                                                                        | https://www.driveonly.fr/fr/22960-tzr-50-125                                                                      |       108 |           5 |               0 |                        0 |
|       22961 | V-Max 1700                                                                          | https://www.driveonly.fr/fr/22961-v-max-1700                                                                      |       108 |           5 |               0 |                        0 |
|       22964 | Xjr 1200 / 1300                                                                     | https://www.driveonly.fr/fr/22964-xjr-1200-1300                                                                   |       108 |           5 |               0 |                        0 |
|       22965 | XSR 700                                                                             | https://www.driveonly.fr/fr/22965-xsr-700                                                                         |       108 |           5 |               0 |                        0 |
|       22967 | YBR 125 / 250                                                                       | https://www.driveonly.fr/fr/22967-ybr-125-250                                                                     |       108 |           5 |               0 |                        0 |
|       22969 | YFM Raptor 250                                                                      | https://www.driveonly.fr/fr/22969-yfm-raptor-250                                                                  |       108 |           5 |               0 |                        0 |
|       24363 | F750                                                                                | https://www.driveonly.fr/fr/24363-f750                                                                            |       109 |           5 |               0 |                        0 |
|       24364 | F850                                                                                | https://www.driveonly.fr/fr/24364-f850                                                                            |       109 |           5 |               0 |                        0 |
|       25356 | F900R / F900XR                                                                      | https://www.driveonly.fr/fr/25356-f900r-f900xr                                                                    |       109 |           5 |               0 |                        0 |
|       22890 | G310R / G310GS                                                                      | https://www.driveonly.fr/fr/22890-g310r-g310gs                                                                    |       109 |           5 |               0 |                        0 |
|       22891 | G450X                                                                               | https://www.driveonly.fr/fr/22891-g450x                                                                           |       109 |           5 |               0 |                        0 |
|       24368 | R1250                                                                               | https://www.driveonly.fr/fr/24368-r1250                                                                           |       109 |           5 |               0 |                        0 |
|       61754 | R1300                                                                               | https://www.driveonly.fr/fr/61754-r1300                                                                           |       109 |           5 |               0 |                        0 |
|       24366 | RnineT                                                                              | https://www.driveonly.fr/fr/24366-rninet                                                                          |       109 |           5 |               0 |                        0 |
|       23906 | S1000R                                                                              | https://www.driveonly.fr/fr/23906-s1000r                                                                          |       109 |           5 |               0 |                        0 |
|       24866 | S1000RR 2009 - 2011                                                                 | https://www.driveonly.fr/fr/24866-s1000rr-2009-2011                                                               |       109 |           5 |               0 |                        0 |
|       24867 | S1000RR 2012 - 2014                                                                 | https://www.driveonly.fr/fr/24867-s1000rr-2012-2014                                                               |       109 |           5 |               0 |                        0 |
|       24868 | S1000RR 2015 - 2016                                                                 | https://www.driveonly.fr/fr/24868-s1000rr-2015-2016                                                               |       109 |           5 |               0 |                        0 |
|       24869 | S1000RR 2017 - 2018                                                                 | https://www.driveonly.fr/fr/24869-s1000rr-2017-2018                                                               |       109 |           5 |               0 |                        0 |
|       24870 | S1000RR 2019 - 2020                                                                 | https://www.driveonly.fr/fr/24870-s1000rr-2019-2020                                                               |       109 |           5 |               0 |                        0 |
|       24365 | S1000XR                                                                             | https://www.driveonly.fr/fr/24365-s1000xr                                                                         |       109 |           5 |               0 |                        0 |
|       22931 | Burgman                                                                             | https://www.driveonly.fr/fr/22931-burgman                                                                         |       113 |           5 |               0 |                        0 |
|       22933 | DR                                                                                  | https://www.driveonly.fr/fr/22933-dr                                                                              |       113 |           5 |               0 |                        0 |
|       22934 | DRZ                                                                                 | https://www.driveonly.fr/fr/22934-drz                                                                             |       113 |           5 |               0 |                        0 |
|       22935 | GS 500                                                                              | https://www.driveonly.fr/fr/22935-gs-500                                                                          |       113 |           5 |               0 |                        0 |
|       22936 | GSF Bandit                                                                          | https://www.driveonly.fr/fr/22936-gsf-bandit                                                                      |       113 |           5 |               0 |                        0 |
|       22937 | GSR 600 / 750                                                                       | https://www.driveonly.fr/fr/22937-gsr-600-750                                                                     |       113 |           5 |               0 |                        0 |
|       22941 | GSXS                                                                                | https://www.driveonly.fr/fr/22941-gsxs                                                                            |       113 |           5 |               0 |                        0 |
|       22939 | GSXF                                                                                | https://www.driveonly.fr/fr/22939-gsxf                                                                            |       113 |           5 |               0 |                        0 |
|       22940 | GSXR                                                                                | https://www.driveonly.fr/fr/22940-gsxr                                                                            |       113 |           5 |               0 |                        0 |
|       22943 | LTR / LTZ                                                                           | https://www.driveonly.fr/fr/22943-ltr-ltz                                                                         |       113 |           5 |               0 |                        0 |
|       22944 | RF 600 / 900                                                                        | https://www.driveonly.fr/fr/22944-rf-600-900                                                                      |       113 |           5 |               0 |                        0 |
|       22949 | RMZ 450                                                                             | https://www.driveonly.fr/fr/22949-rmz-450                                                                         |       113 |           5 |               0 |                        0 |
|       22945 | SV 650 / 1000                                                                       | https://www.driveonly.fr/fr/22945-sv-650-1000                                                                     |       113 |           5 |               0 |                        0 |
|       22947 | TL 1000                                                                             | https://www.driveonly.fr/fr/22947-tl-1000                                                                         |       113 |           5 |               0 |                        0 |
|       23333 | HS5                                                                                 | https://www.driveonly.fr/fr/23333-hs5                                                                             |       121 |           5 |               0 |                        0 |
|         354 | D5S                                                                                 | https://www.driveonly.fr/fr/354-d5s                                                                               |       133 |           5 |               0 |                        0 |
|         152 | Carbone Mat - 3D                                                                    | https://www.driveonly.fr/fr/152-carbone-mat-3d                                                                    |       151 |           5 |               0 |                        0 |
|        2077 | Carbone Vernis - 5D                                                                 | https://www.driveonly.fr/fr/2077-carbone-vernis-5d                                                                |       151 |           5 |               0 |                        0 |
|        2027 | Carbone Satiné - 4D                                                                 | https://www.driveonly.fr/fr/2027-carbone-satine-4d                                                                |       151 |           5 |               0 |                        0 |
|       22979 | Nissan                                                                              | https://www.driveonly.fr/fr/22979-nissan                                                                          |       157 |           4 |               0 |                        0 |
|       59462 | Ligne et Echappement sport Lexus                                                    | https://www.driveonly.fr/fr/59462-ligne-et-echappement-sport-lexus                                                |       175 |           3 |               0 |                        0 |
|       59462 | Lexus                                                                               | https://www.driveonly.fr/fr/59462-lexus                                                                           |       175 |           3 |               0 |                        0 |
